IP,id,srcportb1024,type,srccnt,dstcnt
8.67.220.178,498,0,3,6,2
8.67.220.177,499,0,3,2,4
8.67.220.176,500,0,2,1,0
8.67.220.175,501,0,3,3,4
8.67.220.174,502,0,3,6,3
8.67.220.173,503,0,3,2,7
8.67.220.172,504,0,3,2,4
8.67.220.170,505,0,3,4,2
8.67.220.17,506,0,3,4,1
8.67.220.169,507,0,3,2,2
8.67.220.168,508,0,2,1,0
8.67.220.166,509,0,2,1,0
8.67.220.164,510,0,1,0,1
8.67.220.163,511,0,3,2,4
8.67.220.162,512,0,3,4,3
8.67.220.161,513,0,1,0,1
8.67.220.160,514,0,3,2,1
8.67.220.16,515,0,3,1,4
8.67.220.159,516,0,2,1,0
8.67.220.158,517,0,3,9,3
8.67.220.157,518,1,1,0,1
8.67.220.156,519,0,3,8,3
8.67.220.155,520,0,3,3,7
8.67.220.154,521,0,3,3,3
8.67.220.152,522,0,3,3,3
8.67.220.151,523,0,3,6,4
8.67.220.150,524,0,3,14,2
8.67.220.15,525,0,3,2,1
8.67.220.147,526,0,3,2,1
8.67.220.146,527,0,3,2,3
8.67.220.145,528,0,3,1,2
8.67.220.144,529,0,3,3,1
8.67.220.143,530,0,3,3,2
8.67.220.142,531,0,3,4,4
8.67.220.141,532,0,3,5,4
8.67.220.140,533,0,3,8,3
8.67.220.14,534,0,3,6,2
8.67.220.139,535,0,3,7,2
8.67.220.138,536,0,1,0,1
8.67.220.137,537,0,2,4,0
8.67.220.136,538,0,3,2,1
8.67.220.135,539,0,2,2,0
8.67.220.134,540,0,1,0,2
8.67.220.133,541,0,2,3,0
8.67.220.132,542,0,3,7,2
8.67.220.131,543,0,1,0,3
8.67.220.130,544,0,3,2,4
8.67.220.13,545,0,3,3,1
8.67.220.129,546,0,3,3,2
8.67.220.128,547,0,3,3,2
8.67.220.127,548,0,1,0,1
8.67.220.126,549,0,3,4,1
8.67.220.123,550,0,3,2,3
8.67.220.122,551,0,3,4,1
8.67.220.121,552,0,1,0,1
8.67.220.120,553,0,2,1,0
8.67.220.12,554,0,3,6,4
8.67.220.119,555,0,3,2,3
8.67.220.118,556,0,3,2,3
8.67.220.117,557,0,3,3,1
8.67.220.116,558,0,1,0,1
8.67.220.114,559,0,2,1,0
8.67.220.111,560,0,1,0,1
8.67.220.110,561,0,3,5,3
8.67.220.109,562,0,3,3,6
8.67.220.108,563,0,3,2,1
8.67.220.107,564,0,3,3,5
8.67.220.106,565,0,3,5,3
8.67.220.105,566,0,3,3,5
8.67.220.104,567,0,3,6,4
8.67.220.103,568,0,3,6,6
8.67.220.102,569,0,2,4,0
8.67.220.1,570,0,1,0,3
8.67.219.152,571,0,1,0,1
8.67.218.226,572,1,1,0,1
8.67.218.221,573,0,3,2,1
8.67.218.152,574,0,1,0,3
8.67.217.226,575,0,2,1,0
8.67.216.93,576,1,1,0,2
8.67.216.85,577,0,1,0,1
8.67.216.8,578,0,2,1,0
8.67.216.76,579,0,3,1,1
8.67.216.67,580,0,1,0,1
8.67.216.56,581,0,2,2,0
8.67.216.46,582,0,2,1,0
8.67.216.41,583,0,2,1,0
8.67.216.253,584,1,1,0,1
8.67.216.243,585,0,1,0,1
8.67.216.234,586,1,1,0,2
8.67.216.229,587,0,1,0,1
8.67.216.226,588,11,3,6,25
8.67.216.224,589,2,1,0,2
8.67.216.221,590,12,3,31,13
8.67.216.213,591,0,1,0,1
8.67.216.188,592,0,1,0,2
8.67.216.162,593,0,1,0,1
8.67.216.158,594,0,1,0,1
8.67.216.151,595,0,1,0,1
8.67.216.142,596,0,1,0,1
8.67.216.117,597,0,1,0,1
8.67.216.109,598,0,1,0,1
8.67.212.45,599,0,2,1,0
8.67.212.152,600,0,1,0,1
8.67.212.119,601,0,2,1,0
8.67.208.37,602,0,1,0,1
8.67.208.221,603,0,2,1,0
8.67.204.94,604,0,1,0,1
8.67.204.74,605,0,1,0,1
8.67.204.52,606,0,1,0,1
8.67.204.40,607,0,2,1,0
8.67.204.36,608,0,1,0,1
8.67.204.229,609,0,1,0,1
8.67.204.223,610,0,1,0,1
8.67.204.133,611,0,1,0,1
8.67.204.107,612,0,1,0,1
8.67.204.102,613,0,2,1,0
8.67.200.253,614,0,1,0,1
8.67.200.228,615,0,1,0,1
8.67.200.109,616,0,2,1,0
8.67.196.156,617,0,1,0,1
8.67.188.146,618,0,2,1,0
8.67.176.2,619,0,2,1,0
8.67.158.61,620,0,1,0,1
8.67.156.92,621,0,2,1,0
8.67.156.66,622,0,2,1,0
8.67.156.56,623,0,2,1,0
8.67.156.55,624,0,3,1,1
8.67.156.48,625,0,1,0,1
8.67.156.229,626,0,3,1,1
8.67.156.221,627,0,2,1,0
8.67.156.22,628,0,1,0,1
8.67.156.177,629,0,1,0,1
8.67.156.151,630,0,1,0,1
8.67.156.122,631,0,1,0,1
8.67.156.109,632,0,1,0,1
8.67.148.94,633,0,2,1,0
8.67.128.25,634,0,1,0,1
8.67.128.21,635,0,1,0,1
8.67.128.12,636,0,1,0,1
8.66.220.94,637,0,1,0,1
8.66.220.71,638,0,2,1,0
8.66.220.59,639,0,2,1,0
8.66.220.43,640,0,2,1,0
8.66.220.223,641,0,2,1,0
8.66.220.221,642,0,2,1,0
8.66.220.178,643,0,1,0,1
8.66.220.154,644,0,1,0,1
8.66.220.151,645,0,2,1,0
8.66.220.141,646,0,1,0,1
8.66.220.110,647,0,1,0,2
8.66.218.218,648,0,2,1,0
8.66.218.212,649,0,2,3,0
8.66.218.210,650,0,2,2,0
8.66.218.207,651,0,2,1,0
8.66.218.194,652,0,2,1,0
8.66.216.88,653,0,1,0,1
8.66.216.226,654,0,3,1,1
8.66.156.84,655,0,2,1,0
8.66.156.175,656,0,2,1,0
8.65.92.106,657,0,1,0,1
8.65.88.83,658,0,2,1,0
8.65.88.6,659,0,2,1,0
8.65.88.56,660,0,2,1,0
8.65.88.221,661,0,2,1,0
8.65.88.140,662,0,2,1,0
8.65.88.137,663,0,2,1,0
8.65.88.107,664,0,1,0,1
8.65.88.106,665,0,1,0,1
8.65.248.155,666,0,2,1,0
8.65.224.15,667,0,1,0,1
8.65.222.108,668,0,2,1,0
8.65.220.95,669,0,1,0,1
8.65.220.74,670,0,1,0,1
8.65.220.55,671,0,2,1,0
8.65.220.53,672,0,1,0,1
8.65.220.51,673,0,2,1,0
8.65.220.36,674,0,1,0,1
8.65.220.229,675,0,1,0,1
8.65.220.221,676,0,3,2,1
8.65.220.186,677,0,2,1,0
8.65.220.17,678,0,2,1,0
8.65.220.154,679,0,2,1,0
8.65.220.140,680,0,2,1,0
8.65.220.127,681,0,1,0,1
8.65.220.107,682,0,1,0,1
8.65.220.1,683,0,1,0,1
8.65.218.221,684,0,2,1,0
8.65.218.140,685,0,1,0,1
8.65.217.221,686,0,2,1,0
8.65.216.98,687,0,3,1,1
8.65.216.97,688,0,3,5,1
8.65.216.96,689,0,3,6,2
8.65.216.95,690,0,2,2,0
8.65.216.87,691,0,3,6,2
8.65.216.84,692,0,3,3,3
8.65.216.83,693,0,2,2,0
8.65.216.82,694,0,3,4,3
8.65.216.80,695,0,3,3,1
8.65.216.79,696,0,3,3,6
8.65.216.78,697,0,3,1,1
8.65.216.77,698,0,3,1,4
8.65.216.76,699,0,3,4,5
8.65.216.75,700,0,3,8,5
8.65.216.74,701,0,3,3,1
8.65.216.73,702,0,3,3,6
8.65.216.71,703,0,1,0,2
8.65.216.70,704,0,1,0,1
8.65.216.69,705,0,2,1,0
8.65.216.68,706,0,2,3,0
8.65.216.67,707,0,2,2,0
8.65.216.66,708,0,1,0,1
8.65.216.65,709,0,1,0,3
8.65.216.63,710,0,3,4,2
8.65.216.62,711,0,3,7,6
8.65.216.60,712,0,3,2,1
8.65.216.59,713,0,1,0,2
8.65.216.58,714,0,1,0,2
8.65.216.57,715,0,1,0,1
8.65.216.56,716,0,3,2,1
8.65.216.55,717,0,3,1,1
8.65.216.54,718,0,3,3,3
8.65.216.53,719,0,2,1,0
8.65.216.51,720,0,3,1,3
8.65.216.50,721,0,3,3,2
8.65.216.48,722,0,3,13,2
8.65.216.45,723,0,3,1,2
8.65.216.44,724,0,2,1,0
8.65.216.43,725,0,3,1,1
8.65.216.42,726,0,2,1,0
8.65.216.39,727,0,3,4,3
8.65.216.38,728,0,3,2,3
8.65.216.37,729,0,3,6,2
8.65.216.36,730,0,2,1,0
8.65.216.34,731,0,3,3,1
8.65.216.33,732,0,3,1,4
8.65.216.32,733,0,3,2,1
8.65.216.31,734,0,3,5,1
8.65.216.253,735,0,2,1,0
8.65.216.245,736,0,2,1,0
8.65.216.238,737,0,2,1,0
8.65.216.231,738,0,1,0,1
8.65.216.230,739,0,2,2,0
8.65.216.23,740,0,2,3,0
8.65.216.229,741,0,3,15,3
8.65.216.226,742,2,3,24,2
8.65.216.225,743,0,2,1,0
8.65.216.223,744,0,2,1,0
8.65.216.221,745,1,3,42,26
8.65.216.220,746,0,2,3,0
8.65.216.217,747,0,1,0,1
8.65.216.213,748,0,3,1,1
8.65.216.210,749,0,1,0,1
8.65.216.21,750,0,1,0,1
8.65.216.207,751,0,2,1,0
8.65.216.205,752,0,1,0,1
8.65.216.203,753,0,2,1,0
8.65.216.197,754,0,2,1,0
8.65.216.19,755,0,2,1,0
8.65.216.166,756,0,1,0,1
8.65.216.161,757,0,1,0,1
8.65.216.158,758,0,3,1,1
8.65.216.157,759,0,3,3,2
8.65.216.156,760,0,2,2,0
8.65.216.155,761,0,3,2,3
8.65.216.154,762,0,3,2,1
8.65.216.146,763,0,3,6,3
8.65.216.145,764,0,3,4,9
8.65.216.144,765,0,3,3,1
8.65.216.140,766,0,3,2,3
8.65.216.139,767,0,3,6,3
8.65.216.138,768,0,3,1,4
8.65.216.137,769,0,3,1,1
8.65.216.132,770,0,1,0,1
8.65.216.130,771,0,2,1,0
8.65.216.123,772,0,2,1,0
8.65.216.115,773,0,2,2,0
8.65.216.114,774,0,3,2,1
8.65.216.113,775,0,3,1,3
