""SRCPORT"",""DSTPORT"",""VPI1"",""VCI1"",""DSTID"",""SRCID"",""COMBID""
445,1048,0,100,18342,28366,32009
445,1048,0,100,20703,28366,5180
445,1048,0,100,20821,28366,42003
445,1048,0,100,21853,26188,315
445,1048,0,100,21855,26188,507
445,1049,0,100,18172,28366,31688
445,1050,0,94,21851,23348,48
445,1050,0,94,21853,23348,552
445,1050,0,94,21855,23348,1018
445,1050,0,94,21856,23348,470
445,1050,0,100,18130,28366,32801
445,1050,0,100,18340,28366,332
445,1050,0,100,20668,29544,36358
445,1050,0,100,21851,26188,52
445,1050,0,100,21852,26188,576
445,1050,0,100,21854,26188,744
445,1051,0,94,21852,23348,567
445,1051,0,94,21864,23348,1024
445,1051,0,100,18280,28366,401
445,1051,0,100,20835,28366,32727
445,1052,0,100,18158,28366,26098
445,1052,0,100,18170,28366,33978
445,1052,0,100,18301,28366,34831
445,1052,0,100,20880,28366,5184
445,1053,0,94,21854,23348,627
445,1053,0,94,21855,23348,1018
445,1053,0,94,21864,23348,1024
445,1053,0,100,18123,28366,37398
445,1053,0,100,18171,28366,32412
445,1053,0,100,18280,28366,401
445,1053,0,100,18304,28366,2188
445,1053,0,100,18342,28366,32009
445,1053,0,100,20714,28366,5152
445,1053,0,100,20880,28366,5184
445,1053,0,100,21852,26188,576
445,1054,0,94,21855,23348,1018
445,1054,0,94,21864,23348,1024
445,1054,0,100,18164,28366,51143
445,1054,0,100,18280,28366,401
445,1054,0,100,18301,28366,34831
445,1054,0,100,21852,26188,576
445,1054,0,100,21854,26188,744
445,1054,0,100,21855,26188,507
445,1054,0,100,21856,26188,984
445,1055,0,94,21854,23348,627
445,1055,0,94,21855,23348,1018
445,1055,0,100,18130,28366,32801
445,1055,0,100,21864,26188,1056
445,1056,0,94,21855,23348,1018
445,1056,0,100,20714,28366,5152
445,1056,0,100,20834,28366,31176
445,1056,0,100,21851,26188,52
445,1056,0,100,21856,26188,984
445,1057,0,94,21785,23348,31881
445,1057,0,94,21850,23348,626
445,1057,0,94,21851,23348,48
445,1057,0,94,21853,23348,552
445,1057,0,94,21855,23348,1018
445,1057,0,100,18164,28366,51143
445,1057,0,100,18304,28366,2188
445,1057,0,100,18336,28366,33834
445,1057,0,100,21851,26188,52
445,1057,0,100,21852,26188,576
445,1058,0,94,21851,23348,48
445,1058,0,94,21855,23348,1018
445,1058,0,100,18297,28366,3805
445,1058,0,100,18352,28366,32023
445,1058,0,100,21850,26188,575
445,1058,0,100,21851,26188,52
445,1058,0,100,21855,26188,507
445,1059,0,94,21851,23348,48
445,1059,0,94,21855,23348,1018
445,1059,0,94,21856,23348,470
445,1059,0,94,21864,23348,1024
445,1059,0,100,18122,28366,23683
445,1060,0,94,21849,23348,5299
445,1060,0,94,21854,23348,627
445,1060,0,94,21855,23348,1018
445,1060,0,94,21864,23348,1024
445,1060,0,100,18155,28366,24299
445,1060,0,100,18169,28366,4493
445,1060,0,100,18279,28366,403
445,1060,0,100,21853,26188,315
445,1060,0,159,30112,24266,1149
445,1061,0,94,21852,23348,567
445,1061,0,94,21864,23348,1024
445,1061,0,100,18169,28366,4493
445,1061,0,100,18357,28366,22103
445,1062,0,94,21864,23348,1024
445,1062,0,100,21850,26188,575
445,1062,0,100,21856,26188,984
445,1063,0,94,21855,23348,1018
445,1063,0,100,18188,28366,38035
445,1063,0,100,18279,28366,403
445,1063,0,100,20875,28366,37528
445,1064,0,94,21854,23348,627
445,1064,0,94,21864,23348,1024
445,1064,0,100,21855,26188,507
445,1064,0,100,21856,26188,984
445,1065,0,94,21849,23348,5299
445,1065,0,94,21851,23348,48
445,1065,0,94,21855,23348,1018
445,1065,0,100,18296,28366,37638
445,1065,0,100,20703,28366,5180
445,1065,0,100,21854,26188,744
445,1065,0,100,21856,26188,984
445,1066,0,94,21855,23348,1018
445,1066,0,100,20714,28366,5152
445,1066,0,100,21850,26188,575
445,1066,0,100,21856,26188,984
445,1067,0,94,21851,23348,48
445,1067,0,94,21854,23348,627
445,1067,0,94,21855,23348,1018
445,1067,0,100,21852,26188,576
445,1067,0,100,21854,26188,744
445,1067,0,100,21856,26188,984
445,1068,0,94,21851,23348,48
445,1068,0,94,21852,23348,567
445,1068,0,94,21854,23348,627
445,1068,0,94,21855,23348,1018
445,1068,0,94,21864,23348,1024
445,1068,0,100,18171,28366,32412
445,1068,0,100,18340,28366,332
445,1068,0,100,20682,28366,32404
445,1068,0,100,21856,26188,984
445,1069,0,94,21853,23348,552
445,1069,0,94,21855,23348,1018
445,1069,0,94,21864,23348,1024
445,1069,0,100,18279,28366,403
445,1069,0,100,18280,28366,401
445,1069,0,100,18284,28366,37704
445,1069,0,100,21852,26188,576
445,1070,0,94,21851,23348,48
445,1070,0,94,21852,23348,567
445,1070,0,94,21855,23348,1018
445,1070,0,100,18186,28366,32981
445,1070,0,100,20682,28366,32404
445,1070,0,100,21851,26188,52
445,1070,0,100,21853,26188,315
445,1070,0,100,21856,26188,984
445,1071,0,94,21851,23348,48
445,1071,0,94,21855,23348,1018
445,1071,0,100,18168,28366,32096
445,1071,0,100,18171,28366,32412
445,1071,0,100,18217,28366,31928
445,1071,0,100,21849,26188,7802
445,1071,0,100,21852,26188,576
445,1072,0,94,21851,23348,48
445,1072,0,94,21853,23348,552
445,1072,0,94,21854,23348,627
445,1072,0,94,21855,23348,1018
445,1072,0,94,21864,23348,1024
445,1072,0,100,18279,28366,403
445,1072,0,100,18311,28366,26271
445,1072,0,100,21855,26188,507
445,1072,0,100,21856,26188,984
445,1073,0,94,21854,23348,627
445,1073,0,100,18301,28366,34831
445,1073,0,100,21856,26188,984
445,1074,0,100,18159,28366,33711
445,1074,0,100,18295,28366,37637
445,1074,0,100,18336,28366,33834
445,1074,0,100,18342,28366,32009
445,1074,0,100,21856,26188,984
445,1075,0,94,21851,23348,48
445,1075,0,94,21853,23348,552
445,1075,0,100,18130,28366,32801
445,1075,0,100,18356,28366,6081
445,1075,0,100,20714,28366,5152
445,1075,0,100,21852,26188,576
445,1075,0,100,21856,26188,984
445,1076,0,94,21854,23348,627
445,1076,0,94,21864,23348,1024
445,1076,0,100,18124,28366,52763
445,1076,0,100,18164,28366,51143
445,1077,0,94,21849,23348,5299
445,1077,0,94,21853,23348,552
445,1077,0,94,21854,23348,627
445,1077,0,100,18296,28366,37638
445,1077,0,100,21850,26188,575
445,1077,0,100,21855,26188,507
445,1077,0,100,21856,26188,984
445,1078,0,94,21851,23348,48
445,1078,0,94,21856,23348,470
445,1078,0,94,21864,23348,1024
445,1079,0,100,18171,28366,32412
445,1080,0,94,21852,23348,567
445,1080,0,100,18217,28366,31928
445,1080,0,100,18332,28366,39547
445,1080,0,100,21853,26188,315
445,1080,0,100,21856,26188,984
445,1081,0,94,21856,23348,470
445,1081,0,100,18172,28366,31688
445,1081,0,100,21854,26188,744
445,1082,0,94,21853,23348,552
445,1082,0,94,21854,23348,627
445,1082,0,100,18126,28366,32445
445,1082,0,100,18171,28366,32412
445,1082,0,100,18280,28366,401
445,1082,0,100,20835,28366,32727
445,1082,0,100,21853,26188,315
445,1082,0,100,21854,26188,744
445,1082,0,100,21856,26188,984
445,1083,0,94,21853,23348,552
445,1083,0,94,21864,23348,1024
445,1083,0,100,18112,28366,33926
445,1083,0,100,20880,28366,5184
445,1083,0,100,21849,26188,7802
445,1083,0,100,21852,26188,576
445,1083,0,100,21854,26188,744
445,1084,0,100,18279,28366,403
445,1084,0,100,18336,28366,33834
445,1084,0,100,21852,26188,576
445,1084,0,100,21856,26188,984
445,1085,0,94,21851,23348,48
445,1085,0,94,21852,23348,567
445,1085,0,94,21853,23348,552
445,1085,0,94,21864,23348,1024
445,1085,0,100,18342,28366,32009
445,1085,0,100,21852,26188,576
445,1085,0,100,21856,26188,984
445,1086,0,100,18357,28366,22103
445,1086,0,100,21856,26188,984
445,1086,0,100,21864,26188,1056
445,1087,0,94,21856,23348,470
445,1087,0,100,18112,28366,33926
445,1087,0,100,18217,28366,31928
445,1087,0,100,21856,26188,984
445,1088,0,94,21852,23348,567
445,1088,0,94,21864,23348,1024
445,1088,0,100,18296,28366,37638
445,1088,0,100,21855,26188,507
445,1088,0,100,21856,26188,984
445,1089,0,100,18296,28366,37638
445,1089,0,100,21849,26188,7802
445,1089,0,100,21850,26188,575
445,1089,0,100,21856,26188,984
445,1090,0,100,18158,28366,26098
445,1090,0,100,21852,26188,576
445,1090,0,100,21856,26188,984
445,1091,0,100,18149,28366,32475
445,1091,0,100,20875,28366,37528
445,1091,0,100,21856,26188,984
445,1092,0,94,21853,23348,552
445,1092,0,100,18279,28366,403
445,1092,0,100,21853,26188,315
445,1093,0,94,21856,23348,470
445,1093,0,94,21864,23348,1024
445,1093,0,100,18123,28366,37398
445,1093,0,100,18280,28366,401
445,1093,0,100,18336,28366,33834
445,1093,0,100,18354,28366,1564
445,1093,0,100,20714,28366,5152
445,1094,0,100,18122,28366,23683
445,1094,0,100,18155,28366,24299
445,1094,0,100,20834,28366,31176
445,1095,0,94,21856,23348,470
445,1095,0,100,18112,28366,33926
445,1095,0,100,21851,26188,52
445,1095,0,100,21854,26188,744
445,1096,0,94,21864,23348,1024
445,1097,0,100,18164,28366,51143
445,1097,0,100,21852,26188,576
445,1097,0,100,21854,26188,744
445,1097,0,100,21855,26188,507
445,1097,0,100,21856,26188,984
445,1098,0,94,21851,23348,48
445,1098,0,94,21854,23348,627
445,1098,0,94,21855,23348,1018
445,1098,0,100,21854,26188,744
445,1099,0,94,21851,23348,48
445,1099,0,94,21855,23348,1018
445,1099,0,94,21856,23348,470
445,1099,0,100,21849,26188,7802
445,1099,0,100,21854,26188,744
445,1100,0,94,21851,23348,48
445,1100,0,94,21854,23348,627
445,1100,0,94,21864,23348,1024
445,1100,0,100,21850,26188,575
445,1101,0,100,18169,28366,4493
445,1101,0,100,18352,28366,32023
445,1101,0,100,18356,28366,6081
445,1101,0,100,20878,28366,5083
445,1101,0,100,21864,26188,1056
445,1102,0,94,21851,23348,48
445,1102,0,94,21856,23348,470
445,1102,0,94,21864,23348,1024
445,1102,0,100,18170,28366,33978
445,1102,0,100,18317,28366,60873
445,1102,0,100,18357,28366,22103
445,1102,0,100,20682,28366,32404
445,1102,0,100,21850,26188,575
445,1102,0,100,21864,26188,1056
445,1103,0,94,21856,23348,470
445,1103,0,94,21864,23348,1024
445,1103,0,94,21889,23348,53136
445,1103,0,100,18155,28366,24299
445,1103,0,100,20834,28366,31176
445,1103,0,100,21889,26188,35392
445,1104,0,94,21850,23348,626
445,1104,0,100,18279,28366,403
445,1104,0,100,21851,26188,52
445,1104,0,100,21855,26188,507
445,1105,0,94,21856,23348,470
445,1105,0,100,21849,26188,7802
445,1106,0,94,21853,23348,552
445,1106,0,100,18154,28366,33132
445,1106,0,100,21851,26188,52
445,1106,0,100,21852,26188,576
445,1106,0,100,21853,26188,315
445,1106,0,100,21855,26188,507
445,1106,0,100,21856,26188,984
445,1107,0,94,21856,23348,470
445,1107,0,100,20668,28366,42546
445,1107,0,100,21852,26188,576
445,1108,0,94,21849,23348,5299
445,1108,0,100,18279,28366,403
445,1108,0,100,18301,28366,34831
445,1108,0,100,20834,28366,31176
445,1108,0,100,21851,26188,52
445,1108,0,100,21856,26188,984
445,1109,0,94,21851,23348,48
445,1109,0,94,21852,23348,567
445,1109,0,94,21853,23348,552
445,1109,0,94,21856,23348,470
445,1109,0,94,21864,23348,1024
445,1109,0,100,21853,26188,315
445,1109,0,100,21856,26188,984
445,1110,0,94,21851,23348,48
445,1110,0,94,21854,23348,627
445,1110,0,94,21856,23348,470
445,1110,0,94,21864,23348,1024
445,1110,0,100,18155,28366,24299
445,1110,0,100,18352,28366,32023
445,1110,0,100,21850,26188,575
445,1110,0,100,21854,26188,744
445,1110,0,100,21856,26188,984
445,1111,0,94,21853,23348,552
445,1111,0,94,21854,23348,627
445,1111,0,100,18280,28366,401
445,1111,0,100,18357,28366,22103
445,1111,0,100,21853,26188,315
445,1111,0,100,21856,26188,984
445,1112,0,94,21851,23348,48
445,1112,0,100,18297,28366,3805
445,1112,0,100,21855,26188,507
445,1112,0,100,21864,26188,1056
445,1113,0,94,21850,23348,626
445,1113,0,100,18278,28366,33257
445,1113,0,100,18356,28366,6081
445,1113,0,100,21850,26188,575
445,1113,0,100,21853,26188,315
445,1113,0,100,21854,26188,744
445,1114,0,94,21853,23348,552
445,1114,0,94,21856,23348,470
445,1114,0,100,18169,28366,4493
445,1114,0,100,18171,28366,32412
445,1115,0,100,21849,26188,7802
445,1115,0,100,21854,26188,744
445,1115,0,100,21856,26188,984
445,1116,0,94,21856,23348,470
445,1116,0,100,18153,28366,39572
445,1116,0,100,21864,26188,1056
445,1117,0,94,21864,23348,1024
445,1117,0,100,18342,28366,32009
445,1117,0,100,21852,26188,576
445,1118,0,94,21853,23348,552
445,1118,0,100,21855,26188,507
445,1119,0,94,21853,23348,552
445,1119,0,94,21854,23348,627
445,1119,0,100,18154,28366,33132
445,1119,0,100,21853,26188,315
445,1119,0,100,21856,26188,984
445,1119,0,1696,29659,24266,1652
445,1120,0,94,21852,23348,567
445,1120,0,94,21853,23348,552
445,1120,0,94,21854,23348,627
445,1120,0,94,21856,23348,470
445,1120,0,100,18357,28366,22103
445,1120,0,100,21850,26188,575
445,1121,0,94,21849,23348,5299
445,1121,0,94,21853,23348,552
445,1121,0,94,21864,23348,1024
445,1121,0,100,18155,28366,24299
445,1121,0,100,18310,28366,32421
445,1121,0,100,20714,28366,5152
445,1121,0,100,21855,26188,507
445,1122,0,94,21856,23348,470
445,1122,0,100,18154,28366,33132
445,1122,0,100,21854,26188,744
445,1123,0,94,21850,23348,626
445,1123,0,100,18219,28366,154
445,1124,0,94,21853,23348,552
445,1124,0,94,21864,23348,1024
445,1124,0,100,18280,28366,401
445,1124,0,100,21852,26188,576
445,1125,0,94,21852,23348,567
445,1125,0,94,21856,23348,470
445,1125,0,100,18297,28366,3805
445,1125,0,100,21852,26188,576
445,1125,0,100,21864,26188,1056
445,1126,0,94,21851,23348,48
445,1126,0,100,18296,28366,37638
445,1127,0,94,21856,23348,470
445,1127,0,100,21849,26188,7802
445,1127,0,100,21854,26188,744
445,1128,0,94,21854,23348,627
445,1128,0,100,21849,26188,7802
445,1128,0,100,21855,26188,507
445,1129,0,94,21851,23348,48
445,1129,0,100,21852,26188,576
445,1130,0,94,21852,23348,567
445,1130,0,94,21864,23348,1024
445,1130,0,100,18170,28366,33978
445,1130,0,100,21855,26188,507
445,1131,0,94,21853,23348,552
445,1131,0,100,18169,28366,4493
445,1131,0,100,21853,26188,315
445,1131,0,100,21855,26188,507
445,1132,0,94,21849,23348,5299
445,1132,0,94,21864,23348,1024
445,1132,0,100,21851,26188,52
445,1132,0,100,21864,26188,1056
445,1133,0,94,21854,23348,627
445,1133,0,100,21854,26188,744
445,1133,0,100,21855,26188,507
445,1133,0,100,21856,26188,984
445,1133,0,100,21889,26188,35392
445,1133,0,135,30112,24266,1149
445,1134,0,94,21856,23348,470
445,1134,0,94,21864,23348,1024
445,1134,0,100,18340,28366,332
445,1134,0,100,21851,26188,52
445,1134,0,100,21852,26188,576
445,1135,0,100,18336,28366,33834
445,1135,0,100,21864,26188,1056
445,1136,0,94,21853,23348,552
445,1136,0,94,21855,23348,1018
445,1137,0,94,21853,23348,552
445,1137,0,94,21864,23348,1024
445,1137,0,100,21850,26188,575
445,1137,0,100,21851,26188,52
445,1137,0,100,21853,26188,315
445,1137,0,100,21854,26188,744
445,1137,0,100,21855,26188,507
445,1138,0,94,21856,23348,470
445,1138,0,100,18279,28366,403
445,1138,0,100,21850,26188,575
445,1138,0,100,21853,26188,315
445,1139,0,94,21851,23348,48
445,1139,0,94,21853,23348,552
445,1139,0,94,21856,23348,470
445,1139,0,100,18297,28366,3805
445,1139,0,100,21849,26188,7802
445,1139,0,100,21853,26188,315
445,1139,0,100,21855,26188,507
445,1140,0,94,21850,23348,626
445,1140,0,94,21854,23348,627
445,1140,0,100,21849,26188,7802
445,1140,0,100,21853,26188,315
445,1140,0,100,21864,26188,1056
445,1141,0,100,18357,28366,22103
445,1141,0,100,21850,26188,575
445,1141,0,100,21852,26188,576
445,1141,0,100,21853,26188,315
445,1141,0,100,21855,26188,507
445,1142,0,94,21850,23348,626
445,1142,0,94,21851,23348,48
445,1142,0,94,21856,23348,470
445,1142,0,94,21864,23348,1024
445,1142,0,100,18153,28366,39572
445,1142,0,100,20878,28366,5083
445,1142,0,100,21851,26188,52
445,1142,0,100,21852,26188,576
445,1143,0,94,21852,23348,567
445,1144,0,94,21864,23348,1024
445,1144,0,100,18280,28366,401
445,1144,0,100,18342,28366,32009
445,1144,0,100,21855,26188,507
445,1144,0,100,21864,26188,1056
445,1145,0,94,21851,23348,48
445,1145,0,100,21850,26188,575
445,1145,0,100,21853,26188,315
445,1145,0,100,21855,26188,507
445,1146,0,100,18357,28366,22103
445,1146,0,100,20714,28366,5152
445,1146,0,100,21864,26188,1056
445,1147,0,94,21854,23348,627
445,1147,0,94,21864,23348,1024
445,1147,0,100,21850,26188,575
445,1147,0,100,21851,26188,52
445,1147,0,100,21854,26188,744
445,1148,0,94,21849,23348,5299
445,1148,0,100,18279,28366,403
445,1148,0,100,21851,26188,52
445,1148,0,100,21854,26188,744
445,1148,0,100,21864,26188,1056
445,1149,0,94,21849,23348,5299
445,1149,0,94,21854,23348,627
445,1149,0,100,21849,26188,7802
445,1149,0,100,21851,26188,52
445,1149,0,100,21854,26188,744
445,1149,0,100,21855,26188,507
445,1149,0,100,21864,26188,1056
445,1150,0,94,21850,23348,626
445,1150,0,94,21855,23348,1018
445,1150,0,100,18169,28366,4493
445,1150,0,100,21850,26188,575
445,1150,0,100,21854,26188,744
445,1150,0,100,21864,26188,1056
445,1151,0,94,21856,23348,470
445,1151,0,94,21864,23348,1024
445,1151,0,100,21850,26188,575
445,1151,0,100,21851,26188,52
445,1152,0,94,21856,23348,470
445,1152,0,100,21856,26188,984
445,1153,0,94,21851,23348,48
445,1153,0,94,21864,23348,1024
445,1153,0,100,21849,26188,7802
445,1153,0,100,21851,26188,52
445,1154,0,94,21856,23348,470
445,1154,0,100,21864,26188,1056
445,1154,0,159,29659,24266,1652
445,1155,0,94,21856,23348,470
445,1155,0,100,18186,28366,32981
445,1155,0,100,21852,26188,576
445,1156,0,94,21851,23348,48
445,1156,0,94,21852,23348,567
445,1156,0,94,21853,23348,552
445,1156,0,100,21853,26188,315
445,1157,0,100,18332,28366,39547
445,1157,0,100,21850,26188,575
445,1157,0,100,21852,26188,576
445,1157,0,100,21853,26188,315
445,1157,0,100,21854,26188,744
445,1158,0,94,21850,23348,626
445,1158,0,94,21851,23348,48
445,1158,0,94,21854,23348,627
445,1159,0,94,21864,23348,1024
445,1159,0,100,18154,28366,33132
445,1159,0,100,18297,28366,3805
445,1160,0,94,21853,23348,552
445,1160,0,94,21856,23348,470
445,1160,0,100,21850,26188,575
445,1160,0,100,21852,26188,576
445,1161,0,94,21855,23348,1018
445,1161,0,100,18169,28366,4493
445,1161,0,100,18297,28366,3805
445,1161,0,100,21849,26188,7802
445,1161,0,100,21851,26188,52
445,1161,0,100,21854,26188,744
445,1161,0,100,21856,26188,984
445,1162,0,94,21851,23348,48
445,1162,0,94,21853,23348,552
445,1162,0,100,18154,28366,33132
445,1162,0,100,20714,28366,5152
445,1162,0,100,21853,26188,315
445,1163,0,100,18279,28366,403
445,1163,0,100,21849,26188,7802
445,1164,0,94,21853,23348,552
445,1164,0,94,21864,23348,1024
445,1164,0,100,18188,28366,38035
445,1164,0,100,21850,26188,575
445,1164,0,100,21855,26188,507
445,1164,0,100,21864,26188,1056
445,1165,0,94,21853,23348,552
445,1165,0,94,21856,23348,470
445,1165,0,100,21849,26188,7802
445,1165,0,100,21851,26188,52
445,1165,0,100,21855,26188,507
445,1166,0,94,21851,23348,48
445,1166,0,100,21852,26188,576
445,1167,0,94,21852,23348,567
445,1167,0,94,21854,23348,627
445,1167,0,100,18171,28366,32412
445,1167,0,100,18296,28366,37638
445,1167,0,100,21850,26188,575
445,1167,0,100,21853,26188,315
445,1167,0,100,21854,26188,744
445,1168,0,100,18114,28366,34574
445,1168,0,100,18336,28366,33834
445,1168,0,100,21850,26188,575
445,1168,0,100,21851,26188,52
445,1169,0,100,21851,26188,52
445,1169,0,100,21852,26188,576
445,1170,0,94,21864,23348,1024
445,1170,0,100,18357,28366,22103
445,1170,0,100,21850,26188,575
445,1170,0,100,21852,26188,576
445,1171,0,100,21854,26188,744
445,1172,0,100,20834,28366,31176
445,1173,0,94,21855,23348,1018
445,1173,0,100,18167,28366,6719
445,1174,0,100,21851,26188,52
445,1174,0,100,21864,26188,1056
445,1175,0,94,21852,23348,567
445,1175,0,94,21854,23348,627
445,1175,0,94,21856,23348,470
445,1175,0,100,18219,28366,154
445,1175,0,100,21851,26188,52
445,1175,0,100,21852,26188,576
445,1176,0,94,21856,23348,470
445,1176,0,100,18123,28366,37398
445,1176,0,100,18310,28366,32421
445,1176,0,100,20821,28366,42003
445,1176,0,100,21849,26188,7802
445,1176,0,100,21856,26188,984
445,1177,0,94,21856,23348,470
445,1177,0,94,21864,23348,1024
445,1177,0,100,20714,28366,5152
445,1177,0,100,21816,26188,4432
445,1177,0,100,21851,26188,52
445,1177,0,100,21855,26188,507
445,1178,0,100,18155,28366,24299
445,1178,0,100,18357,28366,22103
445,1178,0,100,21849,26188,7802
445,1178,0,100,21850,26188,575
445,1178,0,100,21853,26188,315
445,1179,0,94,21849,23348,5299
445,1179,0,94,21854,23348,627
445,1179,0,94,21856,23348,470
445,1179,0,100,18170,28366,33978
445,1179,0,100,18336,28366,33834
445,1179,0,100,21851,26188,52
445,1179,0,100,21856,26188,984
445,1180,0,94,21853,23348,552
445,1180,0,94,21856,23348,470
445,1180,0,100,21852,26188,576
445,1180,0,100,21853,26188,315
445,1180,0,100,21854,26188,744
445,1181,0,94,21849,23348,5299
445,1181,0,94,21851,23348,48
445,1181,0,94,21852,23348,567
445,1181,0,94,21853,23348,552
445,1181,0,100,21854,26188,744
445,1181,0,100,21855,26188,507
445,1182,0,100,18169,28366,4493
445,1183,0,100,18169,28366,4493
445,1183,0,100,21853,26188,315
445,1184,0,100,21851,26188,52
