srcid,dstid,Sequence
24424,30113,459
24171,30113,460
23962,30113,461
29066,18323,462
18323,29066,463
29545,18282,464
18282,29545,465
30333,18227,466
18227,30333,467
18554,18225,468
18225,18554,469
23348,21856,470
28367,18141,471
18141,28367,472
18353,28921,473
28921,18353,474
29545,18336,475
18336,29545,476
25477,20715,477
20715,25477,478
25074,20656,479
20656,25074,480
30352,18363,481
18363,30352,482
18276,30352,483
30352,18276,484
26188,21808,485
25074,18333,486
18333,25074,487
30352,18357,488
18357,30352,489
28921,20834,490
20834,28921,491
26289,22990,492
24912,18115,493
18115,24912,494
28921,18324,495
18324,28921,496
18227,25233,497
25233,18227,498
28921,20669,499
20669,28921,500
25477,18154,501
18154,25477,502
25074,18159,503
18159,25074,504
30352,18323,505
18323,30352,506
26188,21855,507
29545,18315,508
18315,29545,509
24080,29791,510
18554,18169,511
18169,18554,512
18131,29066,513
29066,18131,514
25430,18123,515
18123,25430,516
23348,21827,517
20840,18554,518
18554,20840,519
26279,23060,520
23348,21879,521
28367,18363,522
18363,28367,523
6188,28367,524
18554,20745,525
20745,18554,526
29545,18218,527
18218,29545,528
23349,21817,529
18227,25232,530
25232,18227,531
26289,23028,532
18158,28367,533
28367,18158,534
28367,19497,535
28367,18353,536
18353,28367,537
15359,18225,538
28921,18363,539
18363,28921,540
26289,23048,541
18323,28367,542
28367,18323,543
29066,18218,544
18218,29066,545
29066,18141,546
18141,29066,547
30352,20671,548
20671,30352,549
23291,18282,550
29545,504,551
23348,21853,552
29066,20665,553
20665,29066,554
28921,20843,555
20843,28921,556
28921,18151,557
18151,28921,558
18169,28367,559
28367,18169,560
23349,21865,561
23348,21923,562
23349,21923,563
26289,23059,564
18167,30352,565
30352,18167,566
23348,21852,567
24912,18114,568
18114,24912,569
30352,20840,570
20840,30352,571
23349,21797,572
28921,18279,573
18279,28921,574
26188,21850,575
26188,21852,576
28367,18324,577
18324,28367,578
30352,20879,579
20879,30352,580
28367,18304,581
18304,28367,582
28921,20671,583
20671,28921,584
30352,18350,585
18350,30352,586
26289,23017,587
26279,23017,588
26256,23059,589
20844,28367,590
28367,20844,591
26279,23059,592
29545,20844,593
20844,29545,594
18169,29066,595
29066,18169,596
26189,21855,597
28921,20842,598
20842,28921,599
26289,23022,600
28921,18340,601
18340,28921,602
18336,29066,603
29066,18336,604
23349,21854,605
29066,18331,606
18331,29066,607
24912,20683,608
20683,24912,609
23349,21808,610
18549,20748,611
20748,18549,612
29066,18167,613
18167,29066,614
23144,18141,615
18316,30352,616
30352,18316,617
28367,18331,618
18331,28367,619
29066,18159,620
18159,29066,621
26188,21865,622
23285,21865,623
25477,18130,624
18130,25477,625
23348,21850,626
23348,21854,627
28442,18219,628
26188,21890,629
29066,18356,630
18356,29066,631
24912,18158,632
18158,24912,633
28359,18363,634
28921,18356,635
18356,28921,636
30352,18356,637
18356,30352,638
28367,13810,639
28359,18350,640
26189,21865,641
28367,18167,642
18167,28367,643
18158,30352,644
30352,18158,645
18304,29066,646
29066,18304,647
23863,29784,648
29066,18324,649
18324,29066,650
18273,29066,651
29066,18273,652
18275,28921,653
28921,18275,654
28367,18273,655
18273,28367,656
30352,18275,657
18275,30352,658
28367,18362,659
28367,3607,660
24680,18473,661
28359,18275,662
28359,18273,663
17290,29545,664
10681,14747,665
5795,9321,666
5867,10909,667
26188,21720,668
14946,23017,669
26279,27905,670
26253,23015,671
20718,30352,672
30352,20718,673
28359,20718,674
28367,20718,675
20718,28359,676
20718,28367,677
29066,20718,678
20718,29066,679
26279,23025,680
23025,26279,681
30352,18279,682
18279,30352,683
20844,30352,684
30352,20844,685
29066,18161,686
18161,29066,687
30352,18273,688
18273,30352,689
26189,21853,690
18275,29066,691
29066,18275,692
28921,18141,693
18141,28921,694
18136,28367,695
28367,18136,696
29066,18157,697
18157,29066,698
18136,28921,699
28921,18136,700
23144,18157,701
30352,18148,702
18148,30352,703
18133,29066,704
29066,18133,705
23144,18148,706
24266,30111,707
25074,18148,708
18148,25074,709
18137,28367,710
28367,18137,711
24267,30112,712
24267,29659,713
28359,18779,714
28367,14390,715
29066,18317,716
18317,29066,717
29066,20669,718
20669,29066,719
29066,18137,720
18137,29066,721
18363,29545,722
29545,18363,723
28921,18171,724
18171,28921,725
1954,26034,726
11017,14506,727
14101,21550,728
25233,20715,729
25477,7021,730
25404,20715,731
9921,21853,732
24080,29812,733
18554,18149,734
18149,18554,735
18151,30352,736
30352,18151,737
18227,28914,738
22444,29507,739
20718,28921,740
28921,20718,741
28367,18275,742
18275,28367,743
26188,21854,744
20294,18554,745
18139,18461,746
28367,18272,747
28367,438,748
26279,24573,749
18160,6007,750
28919,20669,751
17591,28924,752
18153,28921,753
2738,19615,754
3671,28921,755
8684,29262,756
18148,18554,757
28367,17894,758
26189,21891,759
26183,21860,760
26189,13935,761
18276,24616,762
22560,21637,763
1184,21161,764
18042,30352,765
26335,21850,766
22718,21827,767
29866,21551,768
27915,21450,769
29867,21537,770
25196,21682,771
23349,12514,772
2751,18169,773
18123,28288,774
10519,27115,775
20678,29066,776
29066,20678,777
28359,20678,778
20678,28359,779
28367,20678,780
20678,28367,781
28921,20678,782
20678,28921,783
23349,21850,784
23348,21865,785
18114,29066,786
29066,18114,787
18354,29066,788
29066,18354,789
29066,18263,790
18263,29066,791
30352,18331,792
18331,30352,793
29066,18156,794
18156,29066,795
18227,25485,796
25485,18227,797
26279,26614,798
22580,23060,799
18263,28367,800
28367,18263,801
26189,21817,802
30352,19664,803
18293,30352,804
30352,1954,805
5257,14587,806
13449,30321,807
26289,23052,808
28921,20881,809
20881,28921,810
25477,18263,811
18263,25477,812
3732,26688,813
5496,25074,814
25074,10845,815
26188,21827,816
29066,20844,817
20844,29066,818
28921,20715,819
20715,28921,820
26334,21808,821
18222,28367,822
9211,28367,823
13424,28367,824
26034,20642,825
18159,28921,826
28921,18159,827
20745,5339,828
28367,515,829
30352,18114,830
18114,30352,831
18130,29066,832
29066,18130,833
18227,15118,834
15118,18227,835
24440,21827,836
18554,20161,837
26289,22960,838
22074,28389,839
28367,20660,840
28367,18173,841
18173,28367,842
28921,18173,843
18173,28921,844
18169,30352,845
30352,18169,846
23349,21853,847
26289,22975,848
28921,20712,849
20712,28921,850
28367,20712,851
20712,28367,852
29066,20712,853
20712,29066,854
24912,18150,855
18150,24912,856
20738,28367,857
20683,28288,858
28367,13758,859
29066,18119,860
18119,29066,861
28921,18276,862
18276,28921,863
24912,18119,864
18119,24912,865
28921,18139,866
18139,28921,867
11369,14302,868
7537,18159,869
18173,29066,870
29066,18173,871
17039,25082,872
25074,20678,873
20678,25074,874
23348,21930,875
23349,21857,876
28367,18355,877
18355,28367,878
20665,28921,879
28921,20665,880
25985,22960,881
28921,18322,882
18322,28921,883
18554,18322,884
18322,18554,885
23349,2270,886
23348,21857,887
2381,16027,888
22374,21857,889
990,21159,890
28921,18130,891
18130,28921,892
30352,18280,893
18280,30352,894
28367,18314,895
18314,28367,896
23144,18280,897
18357,28921,898
28921,18357,899
18554,18357,900
18357,18554,901
25430,18314,902
18314,25430,903
18319,29066,904
29066,18319,905
6995,25180,906
23144,18319,907
6069,20718,908
28921,18314,909
18314,28921,910
18176,30352,911
30352,18176,912
25477,18314,913
18314,25477,914
23144,18176,915
18176,28367,916
28367,18176,917
18280,29066,918
29066,18280,919
28359,18340,920
23144,18315,921
26256,23019,922
26188,21930,923
16243,18554,924
19201,28367,925
28367,14345,926
30352,18329,927
18329,30352,928
29545,18329,929
18329,29545,930
28921,18317,931
18317,28921,932
28367,18307,933
18307,28367,934
29545,18307,935
18307,29545,936
28921,18318,937
18318,28921,938
29545,18318,939
18318,29545,940
30352,18229,941
18229,30352,942
29066,20834,943
20834,29066,944
18285,29066,945
29066,18285,946
25477,18285,947
18285,25477,948
24256,10219,949
14698,28245,950
29066,18240,951
18240,29066,952
30352,18251,953
18251,30352,954
18240,30352,955
30352,18240,956
24156,29660,957
28367,18240,958
18240,28367,959
18240,28921,960
28921,18240,961
29066,18282,962
18282,29066,963
20016,28367,964
29066,18281,965
18281,29066,966
25196,21699,967
29867,21556,968
29066,18139,969
18139,29066,970
11097,29611,971
29066,18333,972
18333,29066,973
28359,18324,974
18350,28921,975
28921,18350,976
12816,21257,977
26289,23015,978
28359,18141,979
28921,9160,980
18141,28359,981
29066,10579,982
24256,11458,983
26188,21856,984
9282,28152,985
26188,21738,986
19788,18227,987
18219,25464,988
28921,18154,989
18154,28921,990
14928,13908,991
10798,27114,992
28366,18161,993
28991,18951,994
1042,30113,995
23349,13158,996
23349,9585,997
23348,21472,998
23212,21760,999
28359,20276,1000
19243,30358,1001
18149,7537,1002
16243,28367,1003
18219,11496,1004
18219,28924,1005
29066,18355,1006
18355,29066,1007
23349,21879,1008
19783,18227,1009
18208,28367,1010
26189,21827,1011
18161,30352,1012
30352,18161,1013
29066,18321,1014
18321,29066,1015
25074,18321,1016
18321,25074,1017
23348,21855,1018
29066,20842,1019
20842,29066,1020
25074,18151,1021
18151,25074,1022
28442,20665,1023
23348,21864,1024
26188,21797,1025
24267,29812,1026
24266,29791,1027
29066,20879,1028
20879,29066,1029
18280,28921,1030
28921,18280,1031
18299,18554,1032
23025,26288,1033
12834,23191,1034
26279,22675,1035
28610,22927,1036
24171,1459,1037
28359,18353,1038
25411,18358,1039
2444,30112,1040
28367,18113,1041
26188,21918,1042
23963,1480,1043
30352,18321,1044
18321,30352,1045
29066,18149,1046
18149,29066,1047
29066,18350,1048
18350,29066,1049
28359,18355,1050
18321,28921,1051
28921,18321,1052
28442,18352,1053
28442,18154,1054
19785,18227,1055
26188,21864,1056
28921,18352,1057
18352,28921,1058
16250,30352,1059
5199,13132,1060
29066,18154,1061
18154,29066,1062
18355,28921,1063
28921,18355,1064
18561,18139,1065
28359,18304,1066
20671,11369,1067
18139,30352,1068
30352,18139,1069
29066,18298,1070
18298,29066,1071
3671,28367,1072
17591,28367,1073
28367,15589,1074
26289,24587,1075
2901,23017,1076
26188,21860,1077
18554,9214,1078
26200,21797,1079
7400,21786,1080
9922,21923,1081
26189,9616,1082
25881,21923,1083
11496,20840,1084
13132,20823,1085
27114,20475,1086
19615,29060,1087
29106,18263,1088
28055,20758,1089
2658,15845,1090
25477,20822,1091
26189,21850,1092
11614,29209,1093
28227,20716,1094
28361,20671,1095
25593,29083,1096
18158,25074,1097
25074,18158,1098
26189,21864,1099
18168,30352,1100
14628,18837,1101
18219,24614,1102
30352,27281,1103
26289,22820,1104
18219,4535,1105
18219,4751,1106
20294,30352,1107
16237,30340,1108
5737,29659,1109
19719,28367,1110
18554,25676,1111
12121,18554,1112
29866,21533,1113
18160,28369,1114
20708,30352,1115
25687,28367,1116
30352,9507,1117
30352,3933,1118
28367,18322,1119
16092,18232,1120
18281,28389,1121
19647,28915,1122
25477,12156,1123
1934,25477,1124
5209,24960,1125
28369,18130,1126
14333,28367,1127
28367,21378,1128
27914,21463,1129
18349,28367,1130
2691,15605,1131
28367,1974,1132
23348,9582,1133
23212,21797,1134
23348,26519,1135
22373,21725,1136
23348,21445,1137
27256,30440,1138
26279,2355,1139
26283,23060,1140
15589,30368,1141
13136,18227,1142
30386,18227,1143
27366,28020,1144
16967,28906,1145
30352,12423,1146
30391,20753,1147
5498,25233,1148
24266,30112,1149
27816,18280,1150
18315,8728,1151
28729,21865,1152
23349,22242,1153
26188,21817,1154
27531,5974,1155
18279,2691,1156
28367,18288,1157
4448,16250,1158
26289,22338,1159
10236,18227,1160
30390,18232,1161
18227,6861,1162
28856,13202,1163
27580,29569,1164
22113,30345,1165
20161,29066,1166
20724,28367,1167
7030,14599,1168
18304,1357,1169
20753,14188,1170
4597,16968,1171
20161,29547,1172
28367,9257,1173
10107,18227,1174
28921,18281,1175
18281,28921,1176
23349,21786,1177
10579,14496,1178
18289,28367,1179
12075,13126,1180
26289,23033,1181
16237,18461,1182
23144,12162,1183
29106,18205,1184
20381,28921,1185
18277,28921,1186
28921,18277,1187
24912,13828,1188
22145,24906,1189
24912,3949,1190
17989,28367,1191
20683,28921,1192
28921,20683,1193
20840,14587,1194
24912,3671,1195
16315,28439,1196
28228,18281,1197
23348,21929,1198
26660,21614,1199
4336,22996,1200
26289,22665,1201
18282,28991,1202
30219,20753,1203
22113,28915,1204
30233,18245,1205
13207,29283,1206
18554,20649,1207
25233,20000,1208
20758,25233,1209
6713,29106,1210
28105,18211,1211
17576,30355,1212
20353,30365,1213
26289,23187,1214
20273,24910,1215
26188,31041,1216
18114,28505,1217
29066,18150,1218
18150,29066,1219
20840,28367,1220
28367,20840,1221
20656,10107,1222
28367,14692,1223
18227,25829,1224
24223,30113,1225
20879,28921,1226
28921,20879,1227
23992,30112,1228
24123,13118,1229
30352,18150,1230
18150,30352,1231
23921,6112,1232
24347,11484,1233
24347,24094,1234
2091,15589,1235
28367,19664,1236
20609,28367,1237
6058,9209,1238
28921,18156,1239
18156,28921,1240
28921,20656,1241
20656,28921,1242
29995,18218,1243
18218,29995,1244
30754,18554,1245
30352,18317,1246
18317,30352,1247
30352,18159,1248
18159,30352,1249
30352,20835,1250
20835,30352,1251
30352,20668,1252
20668,30352,1253
20834,30352,1254
30352,20834,1255
23349,21860,1256
19249,28399,1257
12733,20161,1258
20161,24915,1259
30352,18255,1260
28359,20834,1261
20669,28389,1262
23348,21868,1263
29545,18173,1264
18173,29545,1265
23303,21860,1266
23348,21751,1267
23348,22244,1268
2380,21856,1269
22373,21751,1270
23348,12524,1271
23421,21856,1272
4119,21856,1273
23348,31055,1274
23348,7117,1275
23284,21868,1276
26256,23017,1277
23348,21888,1278
23355,21856,1279
29866,21856,1280
23318,29791,1281
23497,29812,1282
4192,29830,1283
30352,20665,1284
20665,30352,1285
25319,21856,1286
9736,21972,1287
22718,21856,1288
11035,14870,1289
18167,28921,1290
28921,18167,1291
26182,21865,1292
14928,21865,1293
26188,2273,1294
1183,21163,1295
1183,21865,1296
26188,21911,1297
26188,22248,1298
11231,14874,1299
26190,21865,1300
5867,19447,1301
4315,17099,1302
18151,13005,1303
23025,26237,1304
26056,21851,1305
25958,21783,1306
12857,21851,1307
26188,9593,1308
5867,19438,1309
4315,17090,1310
26188,2264,1311
28921,20844,1312
20844,28921,1313
28927,18219,1314
17641,28371,1315
17847,29066,1316
28379,18281,1317
20671,29066,1318
29066,20671,1319
23342,21817,1320
20668,9867,1321
25430,6987,1322
23144,18331,1323
28921,18331,1324
18331,28921,1325
537,29835,1326
29545,15641,1327
30352,18304,1328
18304,30352,1329
20881,28369,1330
20642,28367,1331
20683,28924,1332
23355,21851,1333
20180,28371,1334
28367,30973,1335
28055,20836,1336
20180,28367,1337
18333,11369,1338
26076,22986,1339
12834,23167,1340
26256,22960,1341
28610,22909,1342
26348,22975,1343
26279,22879,1344
25983,22958,1345
14946,22960,1346
9935,23381,1347
25404,18201,1348
20353,30411,1349
23144,25717,1350
18546,25477,1351
24168,26137,1352
18277,590,1353
18667,28366,1354
9235,17365,1355
20403,30352,1356
25985,22990,1357
1200,22990,1358
18282,4448,1359
29399,18282,1360
24225,29744,1361
28921,19614,1362
29545,18319,1363
28367,12214,1364
28359,20835,1365
30353,18227,1366
29092,18236,1367
24252,29931,1368
24225,29510,1369
28367,501,1370
19952,28367,1371
16293,24912,1372
9736,21856,1373
12652,21258,1374
23348,27707,1375
24439,21856,1376
18363,29995,1377
2437,29721,1378
4261,20753,1379
26057,21860,1380
14929,21860,1381
26189,21824,1382
26189,21791,1383
11232,14872,1384
24198,29653,1385
24123,30112,1386
28105,18160,1387
28367,30201,1388
20566,29545,1389
13100,20112,1390
26985,29784,1391
24255,29887,1392
26279,11001,1393
14121,23015,1394
14101,21865,1395
22559,21812,1396
26188,21976,1397
26188,31059,1398
26188,27711,1399
28588,21756,1400
25958,21865,1401
26188,21875,1402
22559,21639,1403
26188,17099,1404
18277,29066,1405
29066,18277,1406
16584,18227,1407
1809,15589,1408
7537,19715,1409
28921,17548,1410
26188,19423,1411
13481,28367,1412
28702,18353,1413
20668,28921,1414
28921,20668,1415
20754,30392,1416
27580,28949,1417
20753,6058,1418
28788,20753,1419
26034,20835,1420
24913,20753,1421
12423,18554,1422
808,25251,1423
20762,24912,1424
21998,25233,1425
20833,25074,1426
25074,21399,1427
18226,28367,1428
23142,18114,1429
28367,12182,1430
29545,18280,1431
23921,2808,1432
12697,30113,1433
18290,28921,1434
25365,18159,1435
9795,30111,1436
3699,26688,1437
24253,29781,1438
26188,12511,1439
25958,21806,1440
26188,21839,1441
28367,14388,1442
2459,16003,1443
23348,9606,1444
29866,21879,1445
23348,21875,1446
23348,4015,1447
7220,31111,1448
23348,21265,1449
23284,21879,1450
26660,21642,1451
17745,26293,1452
27220,28367,1453
26189,14869,1454
30538,18171,1455
18337,25074,1456
12837,23025,1457
18277,11369,1458
28367,18174,1459
28367,27244,1460
24191,30119,1461
6825,27816,1462
28367,14457,1463
18221,2691,1464
18359,28367,1465
28367,20450,1466
10107,19995,1467
1759,18227,1468
11974,18227,1469
18154,28991,1470
28367,20644,1471
25477,18153,1472
20876,14628,1473
24997,17984,1474
28020,18240,1475
25477,27242,1476
28367,20514,1477
15904,28367,1478
18162,7354,1479
5686,16012,1480
20184,28921,1481
30972,28367,1482
18167,13076,1483
18167,11434,1484
1357,21399,1485
16986,28367,1486
26279,9690,1487
6984,28367,1488
29545,13741,1489
18060,28367,1490
18169,590,1491
1357,18161,1492
28367,447,1493
18287,28367,1494
20840,8582,1495
18555,18169,1496
18354,11369,1497
18322,28367,1498
24680,18637,1499
26289,25169,1500
25477,14388,1501
4360,17108,1502
26188,21491,1503
12653,21786,1504
26390,22985,1505
28367,6781,1506
24680,20762,1507
22145,28367,1508
2691,18298,1509
29066,20668,1510
20668,29066,1511
30352,16350,1512
4515,18227,1513
12263,18219,1514
28371,19315,1515
26289,2346,1516
23284,21850,1517
23348,21256,1518
23348,21877,1519
23348,21463,1520
30468,18165,1521
23349,21959,1522
31134,25517,1523
18154,25488,1524
17346,18227,1525
26360,23060,1526
26034,18130,1527
25477,20698,1528
28367,20150,1529
27816,18326,1530
18281,30352,1531
30352,18281,1532
9843,18159,1533
20724,29545,1534
25233,27580,1535
22746,20753,1536
3771,18225,1537
18554,18243,1538
18554,18230,1539
20753,18225,1540
19066,18225,1541
26445,23028,1542
19646,18554,1543
478,19357,1544
20021,13012,1545
327,18227,1546
2691,22133,1547
6006,12231,1548
28105,20762,1549
1318,18279,1550
28367,20767,1551
20808,28367,1552
28367,30972,1553
24913,20887,1554
24912,20279,1555
24940,18114,1556
23284,21797,1557
23421,21855,1558
7220,21797,1559
23348,12946,1560
17745,26289,1561
26289,17745,1562
28589,21753,1563
28366,18354,1564
18282,29521,1565
28105,18221,1566
7537,18277,1567
13132,18169,1568
18123,29066,1569
29066,18123,1570
6007,18331,1571
28151,21042,1572
20668,28379,1573
26688,18282,1574
19750,18227,1575
26189,21851,1576
28367,18319,1577
18319,28367,1578
18338,24912,1579
18338,28921,1580
24912,18338,1581
28921,18338,1582
29066,20840,1583
20840,29066,1584
18168,29066,1585
29066,18168,1586
18263,28921,1587
28921,18263,1588
26189,21852,1589
18325,28367,1590
28367,18325,1591
30352,18340,1592
18340,30352,1593
18300,28367,1594
28367,18300,1595
18300,29066,1596
29066,18300,1597
28367,18305,1598
18305,28367,1599
18168,28367,1600
28367,18168,1601
20718,18554,1602
26188,21857,1603
29066,18307,1604
18554,20718,1605
18307,29066,1606
18554,18136,1607
18136,18554,1608
26189,21930,1609
23349,21930,1610
18115,18554,1611
18554,18115,1612
23144,18325,1613
18325,30352,1614
30352,18319,1615
30352,18325,1616
18319,30352,1617
25661,28367,1618
10838,25399,1619
9800,3462,1620
28367,13741,1621
28367,30492,1622
20360,30352,1623
29066,20691,1624
20691,29066,1625
28359,20691,1626
28367,20691,1627
20691,28367,1628
20691,28359,1629
20691,28921,1630
28921,20691,1631
20691,30352,1632
30352,20691,1633
23144,18151,1634
25074,18300,1635
18300,25074,1636
18115,29066,1637
29066,18115,1638
29066,20835,1639
20835,29066,1640
26188,21923,1641
30352,18168,1642
23349,21864,1643
29066,18279,1644
18279,29066,1645
18168,28921,1646
28921,18168,1647
22559,21634,1648
26188,13932,1649
26192,21855,1650
26188,21552,1651
24266,29659,1652
18136,30352,1653
30352,18136,1654
18323,10102,1655
16253,28439,1656
26189,21890,1657
26189,21854,1658
18114,28921,1659
28921,18114,1660
4119,21854,1661
26189,21857,1662
23349,13915,1663
22719,13915,1664
18277,30352,1665
